Curriculum,Physics with Specialization in Earth Science,,,,,,,,,
Degree Plan,Physics with Specialization in Earth Science/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0899,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
3,MATH 18,MATH,18,,,,4,,,1
4,MATH 20B,MATH,20B,1,,,4,,,2
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
6,PHYS 4A,PHYS,4A,1,,,4,,,2
7,MATH 20C,MATH,20C,4,,,4,,,3
9,PHYS 4B,PHYS,4B,6;4,,,4,,,3
8,CHEM 7L,CHEM,7L,5,,,4,,,3
10,PHYS 4C,PHYS,4C,6;9;7;3,,,4,,,4
11,MATH 20E,MATH,20E,3;7,,,4,,,4
12,PHYS 4D,PHYS,4D,6;10;9;1;4;7;11;3,,,4,,,5
13,PHYS 2CL,PHYS,2CL,6;10,,,2,,,5
14,MATH 20D,MATH,20D,7,,,4,,,5
15,PHYS 2DL,PHYS,2DL,13,,,2,,,6
16,PHYS 4E,PHYS,4E,6;9;10;12;1;4;7;14;11;3,,,4,,,6
17,PHYS 105A,PHYS,105A,10;9;12;16;1;4;7;14;11;3,,,4,,,7
20,SIO 50,SIO,50,,,,6,,,7
18,PHYS 100A,PHYS,100A,6;10;9;12;1;4;7;14;11;3,,,4,,,7
19,PHYS 110A,PHYS,110A,6;10;9;12;1;4;7;14;11;3,,,4,,,7
21,PHYS 100B,PHYS,100B,18;1;4;7;14;11;3,,,4,,,8
22,PHYS 110B,PHYS,110B,19;1;4;7;14;11;3,,,4,,,8
23,SIO 102,SIO,102,20;2;5,,,4,,,8
24,PHYS 120,PHYS,120,6;10;9;13,,,5,,,9
25,PHYS 130A,PHYS,130A,16;18;19,,,4,,,9
26,PHYS 140A,PHYS,140A,25,,,4,,,10
27,SIO 103,SIO,103,1;4;7;14;20,,,4,,,10
34,PHYS RE 1,,,,,,4,,,10
35,PHYS ELECTIVE 1,,,,,,4,,,11
28,SIO 120,SIO,120,20,,,4,,,11
36,PHYS RE 2,,,,,,4,,,11
37,PHYS RE 3,,,,,,4,,,12
38,PHYS ELECTIVE 2,,,,,,4,,,12
39,PHYS UD LAB,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
29,MMW 11,MMW,11,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
30,MMW 12,MMW,12,,,,6,,,2
31,MMW 13,MMW,13,30,,,6,,,3
32,MMW 14 / GE 1,MMW,14,30;31,,,4,,,4
40,GE / DEI,,,,,,4,,,4
41,MMW 14 / GE 2,MMW,14,30;31,,,4,,,5
33,MMW 15,MMW,15,30;31,,,4,,,6
42,GE 1,,,,,,4,,,6
43,GE 2,,,,,,4,,,8
44,GE 3,,,,,,4,,,9
45,GE 4,,,,,,4,,,9
46,GE 5,,,,,,4,,,10
47,GE 6,,,,,,4,,,11
